"id","kingdom","phylum","class","subclass","infraclass","subterclass","superorder","superfamily","family","genus","species","subphylum","order","subfamily","superclass","suborder","infraorder","parvorder","subkingdom","infrakingdom","tribe","subgenus","infraphylum","parvphylum","gigaclass","megaclass","phylum_division","subphylum_subdivision","subtribe","section","subsection","subspecies","epifamily"
"106278","Animalia","Arthropoda","Branchiopoda","Phyllopoda",NA,NA,"Diplostraca",NA,"Podonidae","Pseudevadne","Pseudevadne tergestina","Crustacea","Onychopoda",NA,"Allotriocarida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"483445","Animalia","Platyhelminthes",NA,NA,NA,NA,NA,"Discoceloidea","Cryptocelidae","Hylocelis","Hylocelis californica","Rhabditophora","Polycladida",NA,NA,"Acotylea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"360329","Animalia","Arthropoda","Copepoda",NA,"Neocopepoda",NA,"Podoplea",NA,"Ectinosomatidae","Pseudobradya","Pseudobradya pulchera","Crustacea","Harpacticoida",NA,"Multicrustacea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"229990","Animalia","Nematoda","Enoplea","Enoplia",NA,NA,NA,"Ironoidea","Leptosomatidae","Pseudocella","Pseudocella panamaense",NA,"Enoplida","Thoracostomatinae",NA,"Ironina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"227859","Animalia","Nematoda","Enoplea","Enoplia",NA,NA,NA,"Ironoidea","Leptosomatidae","Pseudocella","Pseudocella wieseri",NA,"Enoplida","Thoracostomatinae",NA,"Ironina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"483947","Animalia","Platyhelminthes",NA,NA,NA,NA,NA,NA,"Pseudocerotidae","Pseudoceros","Pseudoceros canadensis","Rhabditophora","Polycladida",NA,NA,"Cotylea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"483986","Animalia","Platyhelminthes",NA,NA,NA,NA,NA,NA,"Pseudocerotidae","Pseudoceros","Pseudoceros luteus","Rhabditophora","Polycladida",NA,NA,"Cotylea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"483993","Animalia","Platyhelminthes",NA,NA,NA,NA,NA,NA,"Pseudocerotidae","Pseudoceros","Pseudoceros montereyensis","Rhabditophora","Polycladida",NA,NA,"Cotylea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"504794","Animalia","Mollusca","Bivalvia","Autobranchia","Heteroconchia","Euheterodonta","Imparidentia","Chamoidea","Chamidae","Pseudochama","Pseudochama exogyra",NA,"Venerida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"529629","Animalia","Echinodermata","Holothuroidea","Actinopoda",NA,NA,NA,NA,"Cucumariidae","Pseudocnus","Pseudocnus curatus","Echinozoa","Dendrochirotida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
