consumerNum,consumerName,life_stage,consumerCat,trophic_strategy,source,preys_on,parasitic_on,zone,habitat_notes
836,Cribrilaria californiensis,adult,bryozoan,filter feeder,Light & Smith,not reported,NA,low,"encrusting rock, shell; warmer California waters"
837,Cribrilaria perplexa,adult,bryozoan,filter feeder,Light & Smith,not reported,NA,low,NA
838,Figularia hilli,adult,bryozoan,filter feeder,Light & Smith,not reported,NA,all,NA
839,Jullienula hippocrepis,adult,bryozoan,filter feeder,Light & Smith,not reported,NA,low,NA
840,Reginella furcata,adult,bryozoan,filter feeder,Light & Smith,not reported,NA,low,NA
841,Reginella nitida,adult,bryozoan,filter feeder,Light & Smith,not reported,NA,low,NA
785,Bicrisia robertsonae,adult,bryozoan,filter feeder,Light & Smith,not reported,NA,all,"ntertidal in bioturf, on rock, red algae, Laminaria holdfasts; to >120 m"
786,Crisia maxima,adult,bryozoan,filter feeder,Light & Smith,not reported,NA,all,intertidal
787,Crisia occidentalis,adult,bryozoan,filter feeder,Light & Smith,not reported,NA,all,intertidal
788,Crisia serrulata,adult,bryozoan,filter feeder,Light & Smith,not reported,NA,all,intertidal
792,Filicrisia franciscana,adult,bryozoan,filter feeder,"Morris, Abbott, & Haderlie; Light & Smith",not reported,NA,all,"undersides of rocks, bioturf; intertidal to 100 m; attaches to base of red, green algae"
793,Filicrisia geniculata,adult,bryozoan,filter feeder,Light & Smith,not reported,NA,all,"undersides of rocks; British Colombia to San Pedro, CA; common in Monterey Bay; intertidal, shallow water"
847,Cryptosula pallasiana,adult,bryozoan,filter feeder,Light & Smith,not reported,NA,all,NA
812,Conopeum osburni,adult,bryozoan,filter feeder,Light & Smith,not reported,NA,all,Encrusting
816,Einhornia venturaensis,adult,bryozoan,filter feeder,Light & Smith,not reported,NA,all,"encrusting rocks, shells, algae"
851,Fenestrulina blaggae,adult,bryozoan,filter feeder,Light & Smith,not reported,NA,low,NA
852,Fenestrulina eopacifica,adult,bryozoan,filter feeder,Light & Smith,not reported,NA,low,NA
850,Fenestrulina farnsworthi,adult,bryozoan,filter feeder,Light & Smith,not reported,NA,very low,may be on intertidal drift algae or shell
853,Fenestrulina miramara,adult,bryozoan,filter feeder,Light & Smith,not reported,NA,low,NA
854,Fenestrulina morrisae,adult,bryozoan,filter feeder,Light & Smith,not reported,NA,low,"on shell, stone"
855,Fenestrulina umbonata,adult,bryozoan,filter feeder,Light & Smith,not reported,NA,low,on hard substrates
783,Flustrellidra spinifera,adult,bryozoan,filter feeder,Light & Smith,not reported,NA,all,"on algal stipes, especially at bases of Laminaria sinclairii; intertidal to about 70 m."
817,Hincksina alba,adult,bryozoan,filter feeder,Light & Smith,not reported,NA,low,"encrusting rock, molluscan, brachiopod shells"
818,Hincksina pallida,adult,bryozoan,filter feeder,Light & Smith,not reported,NA,low,"Encrusting, loosely attached to hard substrates"
623,Celleporella sp.,adult,bryozoan,filter feeder,NA,not reported,NA,NA,NA
2301,Hippothoa sp.,adult,bryozoan,filter feeder,Light & Smith,not reported,NA,unknown,unknown
842,Arthropoma cecilii,adult,bryozoan,filter feeder,Light & Smith,not reported,NA,all,NA
791,Disporella sp.,adult,bryozoan,filter feeder,Light & Smith,not reported,NA,all,"on algal blades, hydroids, shell, stone; intertidal to 200 m"
820,Membranipora membranacea,adult,bryozoan,filter feeder,Light & Smith,not reported,NA,all,heavy encrustations on giant kelp
819,Membranipora raymondi,adult,bryozoan,filter feeder,Light & Smith,not reported,NA,all,"encrusting shells, stones"
821,Membranipora serrilamella,adult,bryozoan,filter feeder,Light & Smith,not reported,NA,low,common on algae
822,Membranipora tuberculata,adult,bryozoan,filter feeder,Light & Smith,not reported,NA,all,"on floating Sargassum; encrusting kelp, other algae"
865,Microporella californica,adult,bryozoan,filter feeder,Light & Smith,not reported,NA,all,NA
866,Microporella catalinensis,adult,bryozoan,filter feeder,Light & Smith,not reported,NA,all,"on shell, algae"
